,canal,capturas_tarjetas,aprobacion_tarjetas,tarjetas,capturas_creditos,aprobacion_creditos,cantidad_creditos,monto_creditos,seguros,trafico_transaccional,trafico_clientes,aprovechamiento_de_trafico,contribucion,cluster
0,305001,591.25,0.29813,163.0,168.0,0.03384,18.5,53.43834,103.5,125108.25,87108.0,0.00845,2002.20802,2
1,305002,273.0,0.42289,109.0,36.5,0.01746,4.5,11.53701,75.5,143554.25,89312.75,0.00328,1535.21599,0
2,305003,1292.0,0.33203,383.5,243.75,0.02835,32.75,95.94125,251.75,256355.0,176842.0,0.00833,2265.08432,2
3,305004,1411.75,0.21167,269.25,648.75,0.06938,88.25,196.50499,280.75,209293.25,129557.0,0.01561,4278.3435,2
4,305005,550.5,0.25549,122.25,113.0,0.0162,7.75,25.80312,75.5,74420.5,49449.25,0.01366,1552.20988,0
5,305006,368.75,0.2,65.5,101.25,0.02977,9.75,24.78064,57.25,88493.25,57526.75,0.0081,1733.43017,0
6,305007,369.75,0.24098,78.5,55.0,0.01612,5.25,14.55484,43.25,55185.25,34550.0,0.01303,1720.15563,0
7,305008,1271.5,0.24236,275.75,516.25,0.04966,56.5,166.89228,273.0,122920.25,68731.0,0.02553,3239.42755,2
8,305009,517.75,0.37354,176.5,156.5,0.03333,15.75,53.9311,144.25,170409.75,116135.0,0.00554,1656.47507,2
9,305010,666.5,0.26692,157.75,233.75,0.03934,23.25,66.91661,173.0,97043.0,60260.75,0.01456,1860.03772,2
10,305013,389.75,0.3782,129.25,67.75,0.0256,8.75,39.60173,92.75,172655.25,117875.75,0.00378,1325.86495,0
11,305014,1024.75,0.23361,214.75,312.25,0.03971,36.5,119.04254,214.5,154765.75,94460.5,0.01391,1899.78072,2
12,305015,306.75,0.32983,86.25,52.25,0.01147,3.0,11.08023,50.75,193489.75,130281.25,0.00268,2002.55625,0
13,305017,1634.75,0.24034,356.0,447.75,0.03342,49.5,117.74858,221.5,190455.0,119775.75,0.0169,2650.73157,2
14,305018,1163.25,0.18838,204.25,450.75,0.02928,31.75,84.7611,279.75,87054.25,48953.5,0.03253,1094.62115,2
15,305019,854.25,0.23275,178.75,249.75,0.03418,26.25,78.16404,145.75,98155.25,55333.5,0.01958,1496.62725,2
16,305020,653.0,0.22891,139.75,193.75,0.0344,21.0,58.32695,138.75,94351.0,59799.0,0.01382,1571.16822,2
17,305021,766.0,0.2027,138.75,247.5,0.02958,20.25,59.79126,80.5,110240.75,66085.75,0.01506,1057.56914,2
